title,lessons,price,ratings,image_url,course_url,description
Introduction to Business Analytics,32 Lessons,Free,410,https://import.cdn.thinkific.com/118220/uQspaf6ESc6KPX6jkVrx_Introduction_to_Business_Analytics_fcacd85c-25ff-44bf-a74d-ee3aa66e51d4.png,https://courses.analyticsvidhya.com/courses/introduction-to-analytics,"About Introduction to Business AnalyticsGetting Started with Business AnalyticsWhat is Business Analytics? Why has it become so popular recently? What are some of the popular applications of Business Analytics? And more importantly, how can you get started with learning Business Analytics from scratch?With growth in digitisation, Business Analytics is ubiquitous right now. Organizations are splurging to integrate data science solutions in their daily processes. This is where they need Business Analysts.Why pursue Business Analytics:Data is ubiquitous! Organizations need people who can use Business Analytics tools and techniques to make sense of this data.It is one of the hottest field in the industry right nowThere are so many Business Analytics tools and techniques which can be applied to solve business problems. Keep learning, keep growing!The potential of Business Analytics is limitless - spanning across industries, roles and functions"
Introduction to PyTorch for Deep Learning,28 Lessons,Free,64,https://import.cdn.thinkific.com/118220/3Ec7NO7MTkqaEImQio94_pytorch_thumb.jpg,https://courses.analyticsvidhya.com/courses/introduction-to-pytorch-for-deeplearning,"PyTorch for Deep Learning - A Game Changing Deep Learning FrameworkWelcome to the world of PyTorch - a deep learning framework that has changed and re-imagined the way we build deep learning models.PyTorch was recently voted as the favorite deep learning framework among researchers. It has left TensorFlow behind and continues to be the deep learning framework of choice for many experts and practitioners.PyTorch is super flexible and is quite easy to grasp, even for deep learning beginners. If you work on deep learning and computer vision projects, you’ll love working with PyTorch."
Introduction to Natural Language Processing,21 Lessons,Free,522,https://import.cdn.thinkific.com/118220/X8bM7n4REC8ykgf53oSj_10.Introduction%20to%20AI%20_%20ML.png,https://courses.analyticsvidhya.com/courses/Intro-to-NLP,"Introduction to Natural Language Processing (NLP)Natural Language Processing is the art of extracting information from unstructured text. Learn basics of Natural Language Processing, Regular Expressions & text sentiment analysis using machine learning in this course."
Getting started with Decision Trees,21 Lessons,Free,252,https://import.cdn.thinkific.com/118220/Tgfv1fveTpWrv3ZFTt6r_Decision_Trees_ca3c729e-525b-4c8c-9f48-dec4bbb4faf3.png,https://courses.analyticsvidhya.com/courses/getting-started-with-decision-trees,"What is a Decision Tree?A Decision Tree is a flowchart like structure, where each node represents a decision, each branch represents an outcome of the decision, and each terminal node provides a prediction / label.Why learn about Decision Trees?Decision Trees are the most widely and commonly used machine learning algorithms.Decision Trees can be used for solving both classification as well as regression problems.Decision Trees are robust to Outliers, so if you have Outliers in your data - you can still build Decision Tree models without worrying about impact of Outliers on your model.Decision Trees are easy to interpret and hence have multiple applications in different industries."
Introduction to Python,70 Lessons,Free,1567,https://import.cdn.thinkific.com/118220/QAUsjF0qSxCI7fsIrzhn_Algorithm_in_Python_and_R_1b947457-056e-4bfb-9a6f-ce614ebfe3c4.png,https://courses.analyticsvidhya.com/courses/introduction-to-data-science,"Learn Python for Data ScienceDo you want to enter the field of Data Science? Are you intimidated by the coding you would need to learn? Are you looking to learn Python to switch to a data science career?You have come to just the right place!Most industry experts recommend starting your Data Science journey with PythonAcross biggest companies and startups, Python is the most used language for Data Science and Machine Learning ProjectsStackoverflow survey for 2019 had Python outrank Java in the list of most loved languagesPython is a very versatile language since it has a wide array of functionalities already available. The sheer range of functionalities might sound too exhaustive and complicated, you don’t need to be well-versed with them all.Most data scientists have a few go-to libraries for their daily tasks like:for performing data cleaning and analysis - pandasfor basic statistical tools – numpy, scipyfor data visualization – matplotlib, seaborn"
Loan Prediction Practice Problem (Using Python),16 Lessons,Free,358,https://import.cdn.thinkific.com/118220/pcauZ3ZqSWqrYXlYTd0w_Loan_Prediction_Practice_Problem_8dbf2aea-f3c8-42d4-bd27-87e738de5aac.png,https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python,"About the courseThis course is designed for people who want to solve binary classification problems. Classification is a skill every Data Scientist should be well versed in.In this course, we are solving a real life case study of Dream Housing Finance. The company deals in all home loans. They have a presence across all urban, semi-urban and rural areas. Customers first apply for a home loan after that company validates the customer's eligibility. The company wants to automate the loan eligibility process (real-time) based on customer detail provided while filling online application form.By the end of the course, you will have a solid understanding of Classification problem and Various approaches to solve the probem"
Big Mart Sales Prediction Using R,19 Lessons,Free,80,https://import.cdn.thinkific.com/118220/t1hnCAcdT22pr7EEWQpW_Sales%20Prediction_thumb.jpg,https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r,"About the courseSales prediction is a very common real life problem that each company faces at least once in its life time. If done correctly, it can have a significant impact on the success and performance of that company.In this course you will be working on the Big Mart Sales Prediction Challenge.The course will equip you with the skills and techniques required to solve regression problems in R. You will be provided with sufficient theory and practice material to hone your predictive modeling skills."
Twitter Sentiment Analysis,18 Lessons,Free,127,https://import.cdn.thinkific.com/118220/nwZ67Ta2R0SO6uI4mWBe_Twitter%20Sentiment%20Analysis.jpg,https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis,"What is Sentiment Analysis?Sentiment Analysis or Opinion Mining is a technique used to analyse the emotion in a text. We can extract the attitude or the opinion of a piece of text and get insights on it.In the context of machine learning, you can think of Sentiment Analysis as a Classification problem where the text can either have a positive sentiment, a negative sentiment or a neutral one.What are the applications of Sentiment Analysis in the industry?In the age of social media, it is extremely common to comment abouta movie you liked ora book you didn’t like ora product you bought was not up to the mark.Therefore, a lot of companies use sentiment analysis for their products since it provides direct feedback of the customer’s opinion.It is also important to detect and remove hateful content from social media and companies like Twitter, Facebook, etc. extensively use sentiment analysis on a daily basis.On what kind of projects would I implement sentiment analysis?There are a wide variety of projects where you can use Sentiment Analysis. Here are a couple of popular use cases:Sentiment Analysis can not only be used for customer reviews or product feedback, but in other domains as well.Analyzing the sentiments on social media on the US Elections, for example, gives useful insights on which candidates are favoured by the public and which are not.For other interesting problems involving sentiment/emotion detection, you can visit:https://datahack.analyticsvidhya.com/contest/all/What is the range of sentiments that can be observed and analysed?In the earlier days of Natural language processing and Sentiment Analysis, the sentiments could hold only 2 or 3 values: Positive or Negative, and Positive, Neutral or Negative.However, with the advent of deep learning, we can now recognize the subtle emotions in a text as well.This has made tasks like Sarcasm detection, fake news detection etc. popular in research areas of Natural language processingCan I add this project to my resume and use it in my Interview?Sentiment Analysis is one of the most popular applications of Machine Learning and Classification in Natural language processingWe also encourage you to take up more diverse datasets and apply sentiment analysis on them.Sentiment Analysis is also one of the first projects you would learn in your Natural language processing journey and as such is commonly asked in interviews."
Pandas for Data Analysis in Python,27 Lessons,Free,606,https://import.cdn.thinkific.com/118220/SPL9Cu7sQ5uihQ2mGYtO_Pandas_for_Data_Analysis_in_Python_7760df6c-f648-46d8-93f3-ba4e49d89a22.png,https://courses.analyticsvidhya.com/courses/pandas-for-data-analysis-in-python,"Learn Pandas - The Most Popular and Useful Python Library for Data SciencePandas is one of the most popular Python libraries in data science. In fact, Pandas is among those elite libraries that draw instant recognition from programmers of all backgrounds, from developers to data scientists.According to a recent survey by StackOverflow, Pandas is the 4th most used library/framework in the world. That is quite an achievement!Pandas is the first library we import when we fire up our Jupyter notebooks (‘import pandas as pd’ is indelibly etched in our minds!). It is a super flexible tool that enables us to perform data analysis and data manipulation on Pandas dataframes in double-quick time."
Support Vector Machine (SVM) in Python and R,13 Lessons,Free,117,https://import.cdn.thinkific.com/118220/PhPoLyt7QKOucBS6VLf2_Support%20Vector%20Machine_thumb.jpg,https://courses.analyticsvidhya.com/courses/support-vector-machine-svm-in-python-and-r,"Learn Support Vector Machines (SVM) in Python and RWant to learn the popular machine learning algorithm - Support Vector Machines (SVM)? Support Vector Machines can be used to build both Regression and Classification Machine Learning models.This free course will not only teach you basics of Support Vector Machines (SVM) and how it works, it will also tell you how to implement it in Python and R.This course on SVM would help you understand hyperplanes and Kernel tricks to leave you with one of the most popular machine learning algorithms at your disposal."
Evaluation Metrics for Machine Learning Models,25 Lessons,Free,86,https://import.cdn.thinkific.com/118220/Qb1PlcDoTEeoR1ZOOvUy_evaluation%20metrics_thumb.jpg,https://courses.analyticsvidhya.com/courses/evaluation-metrics-for-machine-learning-models,"Evaluation Metrics are a Key Part of Machine Learning ModelsEvaluation metrics form the backbone of improving your machine learning model. Without these evaluation metrics, we would be lost in a sea of machine learning model scores - unable to understand which model is performing well.Wondering where evaluation metrics fit in? Here’s how the typical machine learning model building process works:We build a machine learning model (both regression and classification included)Get feedback from the evaluation metric(s)Make improvements to the modelUse the evaluation metric to gauge the model’s performance, andContinue until you achieve a desirable accuracyEvaluation metrics, essentially, explain the performance of a machine learning model. An important aspect of evaluation metrics is their capability to discriminate among model results.If you’ve ever wondered how concepts like AUC-ROC, F1 Score, Gini Index, Root Mean Square Error (RMSE), and Confusion Matrix work, well - you’ve come to the right course!"
Fundamentals of Regression Analysis,24 Lessons,Free,143,https://import.cdn.thinkific.com/118220/C5HN5LVDQsyS1hRojIyT_courses_thumb.jpg,https://courses.analyticsvidhya.com/courses/Fundamentals-of-Regression-Analysis,"Learn all about Regression Analysis and the Different Types of RegressionLinear regression and logistic regression are typically the first algorithms we learn in data science. These are two key concepts not just in machine learning, but in statistics as well.Due to their popularity, a lot of data science aspirants even end up thinking that they are the only forms of regression! Or at least linear regression and logistic regression are the most important among all forms of regression analysis.The truth, as always, lies somewhere in between. There are multiple types of regression apart from linear regression:Ridge regressionLasso regressionPolynomial regressionStepwise regression, among others.Linear regression is just one part of the regression analysis umbrella. Each regression form has its own importance and a specific condition where they are best suited to apply.Regression analysis marks the first step in predictive modeling. The different types of regression techniques are widely popular because they’re easy to understand and implement using a programming language of your choice."
Getting Started with scikit-learn (sklearn) for Machine Learning,27 Lessons,Free,27,https://import.cdn.thinkific.com/118220/d8R1MoSmisGRZk4UJWQF_thumb_.jpg,https://courses.analyticsvidhya.com/courses/get-started-with-scikit-learn-sklearn,"Learn All About sklearn - The Powerful Python Library for Machine LearningScikit-learn, or sklearn for short, is the first Python library we turn to when building machine learning models. Sklearn is unanimously the favorite Python library among data scientists. As a newcomer to machine learning, you should be comfortable with sklearn and how to build ML models, including:Linear Regression using sklearnLogistic Regression using sklearn, and so on.There’s no question - scikit-learn provides handy tools with easy-to-read syntax. Among the pantheon of popular Python libraries, scikit-learn (sklearn) ranks in the top echelon along with Pandas and NumPy.We love the clean, uniform code and functions that scikit-learn provides. The excellent documentation is the icing on the cake as it makes a lot of beginners self-sufficient with building machine learning models using sklearn.In short, sklearn is a must-know Python library for machine learning. Whether you want to build linear regression or logistic regression models, decision tree or a random forest, sklearn is your go-to library."
Convolutional Neural Networks (CNN) from Scratch,17 Lessons,Free,167,https://import.cdn.thinkific.com/118220/4yxTr5xuQy6snBYBcHP8_Convolutional%20Neural%20Networks_thumb.jpg,https://courses.analyticsvidhya.com/courses/convolutional-neural-networks-cnn-from-scratch,"Learn about Convolutional Neural Networks (CNN) from ScratchConvolutional Neural Networks, or CNN as they’re popularly called, are the go-to deep learning architecture for computer vision tasks, such as object detection, image segmentation, facial recognition, among others. CNNs have even been extended to the field of video analysis!If you are picking one deep learning architecture to learn and are not sure where to start, you should go for convolutional neural networks. Deep learning enthusiasts and experts with CNN knowledge are being widely sourced in the industry.It’s your time to use this CNN skillset and shine!"
Dimensionality Reduction for Machine Learning,23 Lessons,Free,35,https://import.cdn.thinkific.com/118220/Um1x4Xh7RIGzMIQuwCeM_course_thumb%20.jpg,https://courses.analyticsvidhya.com/courses/dimensionality-reduction-for-machine-learning,"Learn All About the Power of Dimensionality ReductionHave you worked on a dataset with more than a thousand features? How about 40,000 features? We are generating data at an unprecedented pace right now and working with massive datasets in machine learning projects is becoming mainstream.This is where the power of dimensionality reduction techniques comes to the fore. Dimensionality reduction is actually one of the most crucial aspects in machine learning projects.You can use dimensionality reduction techniques to reduce the number of features in your dataset without having to lose much information and keep (or improve) the model’s performance. It’s a really powerful way to deal with huge datasets, as you’ll see in this course!Every data scientist, aspiring established, should be aware of the different dimensionality reduction techniques, such as Principal Component Analysis (PCA), Factor Analysis, t-SNE, High Correlation Filter, Missing Value Ratio, among others.So in this beginner-friendly course, you will learn the basics of dimensionality reduction and why you should know dimensionality reduction in machine learning. We will also cover 12 dimensionality reduction techniques! This course is as comprehensive an introduction as you can get!"
K-Nearest Neighbors (KNN) Algorithm in Python and R,10 Lessons,Free,125,https://import.cdn.thinkific.com/118220/7FpGUA1gQLWbDB5oVsCz_thumb_.jpg,https://courses.analyticsvidhya.com/courses/K-Nearest-Neighbors-KNN-Algorithm,"Learn all about the K-Nearest Neighbor (KNN) Algorithm in Machine LearningK-Nearest Neighbor (KNN) is one of the most popular machine learning algorithms. As a newcomer or beginner in machine learning, you’ll find KNN to be among the easiest algorithms to pick up.And despite its simplicity, KNN has proven to be incredibly effective at certain tasks in machine learning.The KNN algorithm is simple to understand, easy to explain and perfect to demonstrate to a non-technical audience (that’s why stakeholders love it!). That’s a key reason why it’s widely used in the industry and why you should know how the algorithm works."
Ensemble Learning and Ensemble Learning Techniques,37 Lessons,Free,139,https://import.cdn.thinkific.com/118220/doHSugITVCfoBUVdlxeH_Ensemble%20Learning-thumb.jpg,https://courses.analyticsvidhya.com/courses/ensemble-learning-and-ensemble-learning-techniques,"A Comprehensive Course on Ensemble LearningEnsemble learning is a powerful machine learning algorithm that is used across industries by data science experts. The beauty of ensemble learning techniques is that they combine the predictions of multiple machine learning models.You must have used or come across several of these ensemble learning techniques in your machine learning journey:-Bagging- Boosting- Stacking- Blending, etc.These ensemble learning techniques include popular machine learning algorithms such as XGBoost, Gradient Boosting, among others. You must be getting a good idea of how vast and useful ensemble learning can be!"
Linear Programming for Data Science Professionals,20 Lessons,Free,17,https://import.cdn.thinkific.com/118220/TMBNBD4R5a1YdlMHJada_thumb.jpg,https://courses.analyticsvidhya.com/courses/linear-programming,"Get a Head Start on Linear Programming to Solve Optimization Problems in Data Science!Optimization is the way of life. We all have finite resources and time and we want to make the most of them. From using your time productively to solving supply chain problems for your company – everything uses optimization.And that’s where learning linear programming will make you a better data science professional.We are solving optimization problems everyday - without realizing it. Think of how you distributed the chocolate among your peers or siblings - that’s your way of optimizing the situation. On the other hand devising inventory and warehousing strategy for an e-tailer can be very complex. Millions of SKUs with different popularity in different regions to be delivered in defined time and resources.And linear programming helps us solve these optimization problems with ease and efficiency. As a data science professional, you are bound to come across these optimization problems that you will solve using linear programming.Simply put, you should know what linear programming is, and the different methods to solve linear programming problems."
Naive Bayes from Scratch,19 Lessons,Free,67,https://import.cdn.thinkific.com/118220/tdU7ioeOQG4ZuHzhoJrQ_thumb_.jpg,https://courses.analyticsvidhya.com/courses/naive-bayes,"Learning Naive Bayes from Scratch for Machine LearningNaive Bayes ranks in the top echelons of the machine learning algorithms pantheon. It is a popular and widely used machine learning algorithm and is often the go-to technique when dealing with classification problems.The beauty of Naive Bayes lies in it’s incredible speed. You’ll soon see how fast the Naive Bayes algorithm works as compared to other classification algorithms. It works on the Bayes theorem of probability to predict the class of unknown datasets. You’ll learn all about this inside the course!So whether you’re trying to solve a classic HR analytics problem like predicting who gets promoted, or you’re aiming to predict loan default - the Naive Bayes algorithm will get you on your way."
Learn Swift for Data Science,21 Lessons,Free,4,https://import.cdn.thinkific.com/118220/QT5BeWvTG2ITfNiyiCZQ_thumb.jpg,https://courses.analyticsvidhya.com/courses/learn-swift-for-data-science,"Your Guide to Learning Swift for Data Science from Scratchhe Swift programming language is quickly becoming the language of choice for a lot of data science experts and professionals. Swift’s flexibility, ease of use, excellent documentation, and quick execution speed are key reasons behind the language’s recent prominence in the data science space.Swift is a more efficient, stable and secure programming language as compared to Python. In fact, Swift is also a good language to build for mobile. In fact, it’s the official language for developing iOS applications for the iPhone!The cherry on the cake for Swift? It has the support of the likes of Google, Apple, and FastAI behind it!“I always hope that when I start looking at a new language, there will be some mind-opening new ideas to find, and Swift definitely doesn’t disappoint. Swift tries to be expressive, flexible, concise, safe, easy to use, and fast. Most languages compromise significantly in at least one of these areas.” – Jeremy HowardAnd when Jeremy Howard endorses a language and starts using it for his daily data science work, you need to drop everything and listen.In this free course on Swift for Data Science, we will learn about Swift as a programming language and how it fits into the data science space. If you’re a Python user, you’ll notice the subtle differences and the incredible similarities between the two. We showcase Swift code as well in the course so get started!"
Introduction to Web Scraping using Python,13 Lessons,Free,95,https://import.cdn.thinkific.com/118220/AEt5RjqFTCeJJ8oIBn7s_thumb.jpg,https://courses.analyticsvidhya.com/courses/introduction-to-web-scraping,"Become Familiar with Web Scraping using PythonThe need and importance of extracting data from the web is becoming increasingly loud and clear. There is an unprecedented volume of data on the internet right now - and data science projects often need this data to build predictive models.That’s a key reason why data scientists are expected to be familiar with web scraping.We have found web scraping to be a very helpful technique for gathering data from multiple websites. Some websites these days also provide APIs for many different types of data you might want to use, such as Tweets or LinkedIn posts.But there might be occasions when you need to collect data from a website that does not provide a specific API. This is where having the ability to perform web scraping comes in handy. As a data scientist, you can code a simple Python script and extract the data you’re looking for.So knowing how to perform web scraping using Python will help you go a long way towards becoming a resourceful data scientist. Are you ready to take the next step and dive in?A note of caution here – web scraping is subject to a lot of guidelines and rules. Not every website allows the user to scrape content so there are certain legal restrictions at play. Always ensure you read the website’s terms and conditions on web scraping before you attempt to do it.In this course, we will dive into the basics of web scraping using Python. We will understand what web scraping is, the different Python libraries for performing web scraping, and finally we’ll implement web scraping using Python in a real-world project. There’s a lot to unpack here so enroll today and start learning!"
Tableau for Beginners,17 Lessons,Free,237,https://import.cdn.thinkific.com/118220/UtXF4erQmuUVLtZz8TMA_tablu_thumb.jpg,https://courses.analyticsvidhya.com/courses/tableau-for-beginners,"Get Started with Tableau for Data Visualization, Analytics and Business IntelligenceTableau is the gold standard in business intelligence, analytics and data visualization tools. Tableau Desktop (and now Tableau Public) have transformed the way we interact with visualizations and tell data stories to our clients, stakeholders, and to non-technical audiences around the world.Tableau has been recognized as a Leader in the Gartner Magic Quadrant for Analytics and Business Intelligence Platforms for 8 straight years. Here’s Gartner’s most recent ranking in 2020:In this Tableau for Beginners course, you will learn everything you need to get started with this wonderful visualization and business intelligence tool. You’ll be able to build charts like bar charts, line charts (for working with time series data), pie charts, and even get the hang of geospatial analysis using map visualizations in Tableau!Note: If you’re looking to build and master dashboards and storyboards in Tableau, make sure you check out the popular ‘Mastering Tableau from Scratch: Become a Data Visualization Rockstar’ course!"
Getting Started with Neural Networks,46 Lessons,Free,212,https://import.cdn.thinkific.com/118220/hujFPpK4S261x92WyEyc_natural%20Network.jpg,https://courses.analyticsvidhya.com/courses/getting-started-with-neural-networks,"Introduction to Neural NetworksWhat is a neural network? How does it work? What does a neural network do? Learn neural networks for free in this course and get your neural network questions answered, including applications of neural networks in deep learning.Learn how neural networks work in deep learningDo you want to acquire a super power? How about learning neural networks? Neural networks are at the heart of the deep learning revolution that’s happening around us right now.Neural networks are the present and the future. The different neural network architectures like convolutional neural networks (CNN), recurrent neural networks (RNN), and others have altered the deep learning landscape.But as a beginner in this field, you’ll have a ton of questions:What is a neural network?Why do we need to learn neural networks?How popular are neural networks?What are the advantages of neural networks?What kind of challenges you could face when applying neural networks?What exactly should you learn about neural networks?What are the core concepts that make up neural networks?What are the different types of neural networks in deep learning?Do you need to know programming to build a neural network?Which programming language is best for building neural networks? Python or R?What are the different applications of neural networks?What kind of problems or projects can you solve using neural networks?From classifying images and translating languages to building a self-driving car, neural networks are powering the world around us. Thanks to the idea of neural networks like CNN and RNN, deep learning has penetrated into multiple and diverse industries, and it continues to break new ground on an almost weekly basis!"
Introduction to AI & ML,17 Lessons,Free,172,https://import.cdn.thinkific.com/118220/rlT6Q4O0SEafxqg4WmzL_Introduction_to_AI__ML_88145141-2c69-4ae8-9681-5d7201a38288%20(1).png,https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml,"Welcome to the World of Artificial Intelligence and Machine Learning!The AI revolution is here - are you prepared to integrate it into your skillset? How can you leverage it in your current role? What are the different facets of AI and ML?Analytics Vidhya’s ‘Introduction to AI and ML’ course, curated and delivered by experienced instructors with decades of industry experience between them, will help you understand the answers to these pressing questions.Artificial Intelligence and Machine Learning have become the centerpiece of strategic decision making for organizations. They are disrupting the way industries and roles function - from sales and marketing to finance and HR, companies are betting big on AI and ML to give them a competitive edge.And this, of course, directly translates to their hiring. Thousands of vacancies are open as organizations scour the world for AI and ML talent. There hasn’t been a better time to get into this field!"
Winning Data Science Hackathons - Learn from Elite Data Scientists,7 Lessons,Free,3,https://import.cdn.thinkific.com/118220/7exjvWuRSNesvaXPPxHO_data-science.jpg,https://courses.analyticsvidhya.com/courses/winning-data-science-hackathons-learn-from-elite-data-scientists,"About the courseThere is no substitute for experience. And that holds true in Data Science competitions as well. These cut-throat hackathons require a lot of trial-and-error, effort, and dedication to reach the ranks of the elite.This course is an amalgamation of various talks by top data scientists and machine learning hackers, experts, practitioners, and leaders who have participated and won dozens of hackathons. They have already gone through the entire learning process and they showcase their work and thought process in these talks.This course features top data science hackers and experts, including Sudalai Rajkumar (SRK), Dipanjan Sarkar, Rohan Rao, Kiran R and many more!From effective feature engineering to choosing the right validation strategy, there is a LOT to learn from this course so get started today!"
Hypothesis Testing for Data Science and Analytics,19 Lessons,Free,19,https://import.cdn.thinkific.com/118220/iO9QE66XTOm17Mz0fxzs_thumb.jpg,https://courses.analyticsvidhya.com/courses/hypothesis-testing-for-data-science-and-analytics,"Statistics is the study of the collection, analysis, interpretation, presentation, and organisation of data. For all the data science and machine learning enthusiasts it is paramount to be well versed with various statistical concepts such as Hypothesis testingEvery day we find ourselves testing new ideas, finding the fastest route to the office, the quickest way to finish our work, or simply finding a better way to do something we love. The critical question, then, is whether our idea is significantly better than what we tried previously.These ideas that we come up with on such a regular basis – that’s essentially what a hypothesis is. And testing these ideas to figure out which one works and which one is best left behind, is calledhypothesis testing."
